"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","1月支払金額","2月繰越残高","新規サイン"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2019/12/29","AMAZON.CO.JP","本人","1回払い","3300","0","3300","3300","0","*"
"2019/12/28","スーパーマーケット","本人","1回払い","7658","0","7658","7658","0","*"
"2019/12/27","ﾌﾞﾂｸｵﾌ","本人","1回払い","6340","0","6340","6340","0","*"
"2019/12/24","鹿児島県南さつま市","本人","1回払い","10000","0","10000","10000","0","*"
"2019/12/23","秋田県湯沢市","本人","1回払い","5000","0","5000","5000","0","*"
"2019/12/23","北海道根室市","本人","1回払い","12000","0","12000","12000","0","*"
"2019/12/23","ﾋﾟｻﾞ-ﾗ","本人","1回払い","4276","0","4276","4276","0","*"
"2019/12/22","鹿児島県大崎町","本人","1回払い","10000","0","10000","10000","0","*"
"2019/12/22","ｼﾖｺﾗﾃｲｴ.ﾛﾏﾝﾃｲ","本人","1回払い","2938","0","2938","2938","0","*"
"2019/12/22","ケーズデンキ","本人","1回払い","3278","0","3278","3278","0","*"
"2019/12/17","くまざわ書店","本人","1回払い","5995","0","5995","5995","0","*"
"2019/12/17","ｵﾀﾖﾘﾎﾝﾎﾟ","本人","1回払い","4625","0","4625","4625","0","*"
"2019/12/16","八重洲ブックセンター","本人","1回払い","2728","0","2728","2728","0","*"
"2019/12/16","ヤマダ電機　楽天市場店","本人","1回払い","10190","0","10190","10190","0","*"
"2019/12/15","ｿﾌﾄﾊﾞﾝｸM(11ｶﾞﾂ)","本人","1回払い","17259","0","17259","17259","0","*"
"2019/12/15","デンキヤ２","本人","1回払い","23970","0","23970","23970","0","*"
"2019/12/11","オリックス生命保険　保険料","本人","1回払い","3420","0","3420","3420","0","*"
"2019/12/09","東京電力　　料金　　　１９／１２","本人","1回払い","11196","0","11196","11196","0","*"
"2019/12/08","ｹ-ﾖ-ﾃﾞｲﾂ-","本人","1回払い","1534","0","1534","1534","0","*"
"2019/12/08","ｱﾏｿﾞﾝﾌﾟﾗｲﾑｶｲﾋ","本人","1回払い","4900","0","4900","4900","0","*"
"2019/12/07","太陽石油","本人","1回払い","2600","0","2600","2600","0","*"
"","05169","","","","","","","",""
"2019/12/06","TOHO","本人","1回払い","1900","0","1900","1900","0","*"
"2019/12/01","GOOGLE CLOUD SERV","本人","1回払い","748","0","748","748","0","*"
"2019/12/01","AMAZON.CO.JP","本人","1回払い","8789","0","8789","8789","0","*"
"2019/11/30","ｵｻｲﾎﾟﾎﾟｲﾝﾄｺｳﾆﾕｳｼﾞ","本人","1回払い","3300","0","3300","3300","0","*"
"2019/11/26","ｶﾞｽ2019/11","本人","1回払い","8879","0","8879","8879","0","*"
"2019/11/17","ＥＴＣカード売上","本人","1回払い","1670","0","1670","1670","0","*"
"","AAA","","","","","","","",""
"2019/11/16","ＥＴＣカード売上","本人","1回払い","1670","0","1670","1670","0","*"
"","AAA","","","","","","","",""
"2019/11/16","ＥＴＣカード売上","本人","1回払い","100","0","100","100","0","*"
"","AAA","","","","","","","",""
