会員番号,****-****-****-****
対象カード,JALカードSuica
お支払日,2020年08月04日
今回お支払金額,"66,385"

ご利用年月日,ご利用箇所,ご利用額,払戻額,ご請求額（うち手数料・利息）,支払区分（回数）,今回回数,今回ご請求額・弁済金（うち手数料・利息）,現地通貨額,通貨略称,換算レート
****-****-****-**** OOO　YYY
2020/06/01,ライフネット生命保険　株式会社,"5,275",,"5,275",１回払,,"5,275",,   ,
2020/06/04,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,"2,837",,"2,837",１回払,,"2,837",,   ,
2020/06/06,AAA,"6,565",,"6,565",１回払,,"6,565",,   ,
2020/06/06,BBB,"1,164",,"1,164",１回払,,"1,164",,   ,
2020/06/07,CCC,"4,392",,"4,392",１回払,,"4,392",,   ,
2020/06/10,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/06/13,AAA,"8,739",,"8,739",１回払,,"8,739",,   ,
2020/06/17,Ｎｉｎｔｅｎｄｏ　ｅＳｈｏｐ,306,,306,１回払,,306,,   ,
2020/06/20,AAA,"10,212",,"10,212",１回払,,"10,212",,   ,
2020/06/21,モバイルＳｕｉｃａ入金（チャージ）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/06/24,オートチャージ（モバイル）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/06/24,オートチャージ（モバイル）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/06/26,オートチャージ（モバイル）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/06/30,Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ,"2,114",,"2,114",１回払,,"2,114",,   ,
2020/07/01,消費者還元,-219,,0,,,0,,   ,
,ご入金等による充当額,,,,,,-219,,,

払戻日,払戻箇所,払戻額,ご利用年月日,ご利用箇所,充当額,返金予定額,備考
****-****-****-**** OOO　OOO
2020/07/01,消費者還元,219,,２０２０年０８月請求分,219,0,払戻しの場合は、お取扱いの期日により、ご請求時とご相殺または、ご返金いたします。
