会員番号,****-****-****-****
対象カード,JALカードSuica
お支払日,2020年03月04日
今回お支払金額,"140,295"

ご利用年月日,ご利用箇所,ご利用額,払戻額,ご請求額（うち手数料・利息）,支払区分（回数）,今回回数,今回ご請求額・弁済金（うち手数料・利息）,現地通貨額,通貨略称,換算レート
****-****-****-**** ooo　yyy
2019/12/31,あああ,"6,732",,"6,732",１回払,,"6,732",,   ,
2020/01/01,ライフネット生命保険　株式会社,"5,275",,"5,275",１回払,,"5,275",,   ,
2020/01/02,ＴＳＵＴＡＹＡ,"1,246",,"1,246",１回払,,"1,246",,   ,
2020/01/02,あああ,"8,289",,"8,289",１回払,,"8,289",,   ,
2020/01/04,あああ,"7,050",,"7,050",１回払,,"7,050",,   ,
2020/01/06,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/01/07,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/01/07,いいい,500,,500,１回払,,500,,   ,
2020/01/07,いいい,640,,640,１回払,,640,,   ,
2020/01/11,あああ,"7,248",,"7,248",１回払,,"7,248",,   ,
2020/01/13,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,"1,414",,"1,414",１回払,,"1,414",,   ,
2020/01/13,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,"2,673",,"2,673",１回払,,"2,673",,   ,
2020/01/13,あああ,"5,268",,"5,268",１回払,,"5,268",,   ,
2020/01/14,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/01/18,どうぶつ病院,"29,260",,"29,260",１回払,,"29,260",,   ,
2020/01/18,あああ,"1,142",,"1,142",１回払,,"1,142",,   ,
2020/01/18,あああ,"7,695",,"7,695",１回払,,"7,695",,   ,
2020/01/20,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/01/25,あああ,"11,506",,"11,506",１回払,,"11,506",,   ,
2020/01/25,島村楽器,"15,440",,"15,440",１回払,,"15,440",,   ,
2020/01/27,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/01/27,いいい,380,,380,１回払,,380,,   ,
2020/01/29,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/02/01,消費者還元,"-1,463",,0,,,0,,   ,
,ご入金等による充当額,,,,,,"-1,463",,,

払戻日,払戻箇所,払戻額,ご利用年月日,ご利用箇所,充当額,返金予定額,備考
****-****-****-**** ooo　yyy
2020/02/01,消費者還元,"1,463",,２０２０年０３月請求分,"1,463",0,払戻しの場合は、お取扱いの期日により、ご請求時とご相殺または、ご返金いたします。
