"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","3月支払金額","4月繰越残高","新規サイン"
"2020/02/29","スーパーマーケットV/M","本人","1回払い","990","0","990","990","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","300","0","300","300","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","300","0","300","300","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","300","0","300","300","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/02/29","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/02/24","ｹ-ﾖ-ﾃﾞｲﾂ-","本人","1回払い","1376","0","1376","1376","0","*"
"2020/02/22","スーパーマーケット","本人","1回払い","1514","0","1514","1514","0","*"
"2020/02/21","八重洲ブックセンター","本人","1回払い","8668","0","8668","8668","0","*"
"2020/02/16","BBB","本人","1回払い","935","0","935","935","0","*"
"2020/02/15","ｿﾌﾄﾊﾞﾝｸM(01ｶﾞﾂ)","本人","1回払い","17279","0","17279","17279","0","*"
"2020/02/12","オリックス生命保険　保険料","本人","1回払い","3420","0","3420","3420","0","*"
"2020/02/11","スーパーマーケット","本人","1回払い","1643","0","1643","1643","0","*"
"2020/02/11","SHOPAAA","本人","1回払い","850","0","850","850","0","*"
"2020/02/10","SHOPBBB","本人","1回払い","10480","0","10480","10480","0","*"
"2020/02/10","AMAZON.CO.JP","本人","1回払い","6536","0","6536","6536","0","*"
"2020/02/09","ｹ-ﾖ-ﾃﾞｲﾂ-","本人","1回払い","1515","0","1515","1515","0","*"
"2020/02/08","PAYPAL *MICROSOFT","本人","1回払い","3960","0","3960","3960","0","*"
"2020/02/08","スーパーマーケット","本人","1回払い","7727","0","7727","7727","0","*"
"2020/02/07","ﾌﾞﾂｸｵﾌ","本人","1回払い","11400","0","11400","11400","0","*"
"2020/02/07","ﾏﾙｾﾞﾝ","本人","1回払い","1639","0","1639","1639","0","*"
"2020/02/06","東京電力　　料金　　　２０／０２","本人","1回払い","16078","0","16078","16078","0","*"
"2020/02/02","GOOGLE CLOUD SERV","本人","1回払い","748","0","748","748","0","*"
"2020/02/02","ｵﾅﾏｴﾄﾞﾂﾄｺﾑﾄﾞﾒｲﾝ","本人","1回払い","1628","0","1628","1628","0","*"
"2020/01/28","ｶﾞｽ2020/01","本人","1回払い","14059","0","14059","14059","0","*"
