会員番号,****-****-****-****
対象カード,JALカードSuica
お支払日,2020年01月06日
今回お支払金額,"98,252"

ご利用年月日,ご利用箇所,ご利用額,払戻額,ご請求額（うち手数料・利息）,支払区分（回数）,今回回数,今回ご請求額・弁済金（うち手数料・利息）,現地通貨額,通貨略称,換算レート
****-****-****-**** oooo　yyy
2019/11/01,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2019/11/01,ライフネット生命保険　株式会社,"5,275",,"5,275",１回払,,"5,275",,   ,
2019/11/02,AAA,"1,480",,"1,480",１回払,,"1,480",,   ,
2019/11/02,AAA,"10,155",,"10,155",１回払,,"10,155",,   ,
2019/11/03,オンラインチケット,"2,000",,"2,000",１回払,,"2,000",,   ,
2019/11/04,BBB店,"2,011",,"2,011",１回払,,"2,011",,   ,
2019/11/05,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2019/11/07,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2019/11/09,DDD,"4,653",,"4,653",１回払,,"4,653",,   ,
2019/11/10,EEE,870,,870,１回払,,870,,   ,
2019/11/14,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2019/11/16,FFF店,"6,460",,"6,460",１回払,,"6,460",,   ,
2019/11/17,AAA,"2,550",,"2,550",１回払,,"2,550",,   ,
2019/11/18,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2019/11/19,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2019/11/22,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2019/11/23,DDD,"2,246",,"2,246",１回払,,"2,246",,   ,
2019/11/23,SSS,"7,454",,"7,454",１回払,,"7,454",,   ,
2019/11/24,ＴＳＵＴＡＹＡ,599,,599,１回払,,599,,   ,
2019/11/24,ＴＳＵＴＡＹＡ,"3,520",,"3,520",１回払,,"3,520",,   ,
2019/11/25,AAA,580,,580,１回払,,580,,   ,
2019/11/25,AAA,"1,304",,"1,304",１回払,,"1,304",,   ,
2019/11/27,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2019/11/30,WWW,"7,418",,"7,418",１回払,,"7,418",,   ,
2019/12/01,消費者還元,-323,,0,,,0,,   ,
,ご入金等による充当額,,,,,,-323,,,

払戻日,払戻箇所,払戻額,ご利用年月日,ご利用箇所,充当額,返金予定額,備考
****-****-****-**** SSS　AAA
2019/12/01,消費者還元,323,,２０２０年０１月請求分,323,0,払戻しの場合は、お取扱いの期日により、ご請求時とご相殺または、ご返金いたします。
