会員番号,****-****-****-****
対象カード,JALカードSuica
お支払日,2020年04月06日
今回お支払金額,"98,365"

ご利用年月日,ご利用箇所,ご利用額,払戻額,ご請求額（うち手数料・利息）,支払区分（回数）,今回回数,今回ご請求額・弁済金（うち手数料・利息）,現地通貨額,通貨略称,換算レート
****-****-****-**** ooo　yyy
2020/02/01,ううう,"7,781",,"7,781",１回払,,"7,781",,   ,
2020/02/01,ライフネット生命保険　株式会社,"5,275",,"5,275",１回払,,"5,275",,   ,
2020/02/03,あああ,141,,141,１回払,,141,,   ,
2020/02/06,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/02/07,あああ,280,,280,１回払,,280,,   ,
2020/02/07,マツモトキヨシ,998,,998,１回払,,998,,   ,
2020/02/08,Ｎｉｎｔｅｎｄｏ　ｅＳｈｏｐ,306,,306,１回払,,306,,   ,
2020/02/11,ううう,"2,859",,"2,859",１回払,,"2,859",,   ,
2020/02/13,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/02/15,ううう,"6,759",,"6,759",１回払,,"6,759",,   ,
2020/02/16,あああ,"1,814",,"1,814",１回払,,"1,814",,   ,
2020/02/19,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/02/19,あああ,998,,998,１回払,,998,,   ,
2020/02/22,ううう,"14,140",,"14,140",１回払,,"14,140",,   ,
2020/02/24,デイツー,"2,698",,"2,698",１回払,,"2,698",,   ,
2020/02/24,おおお,"3,161",,"3,161",１回払,,"3,161",,   ,
2020/02/24,デイツー,"4,304",,"4,304",１回払,,"4,304",,   ,
2020/02/24,おおお,"5,644",,"5,644",１回払,,"5,644",,   ,
2020/02/28,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/02/29,あああ,"7,623",,"7,623",１回払,,"7,623",,   ,
2020/02/29,ううう,"13,584",,"13,584",１回払,,"13,584",,   ,
