"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","7月支払金額","8月繰越残高","新規サイン"
"2020/06/30","AMAZON.CO.JP","本人","1回払い","1376","0","1376","1376","0","*"
"2020/06/27","AMAZON DOWNLOADS","本人","1回払い","1980","0","1980","1980","0","*"
"2020/06/27","AMAZON DOWNLOADS","本人","1回払い","2640","0","2640","2640","0","*"
"2020/06/27","AMAZON DOWNLOADS","本人","1回払い","1980","0","1980","1980","0","*"
"2020/06/27","ｹ-ﾖ-ﾃﾞｲﾂ-","本人","1回払い","1097","0","1097","1097","0","*"
"2020/06/27","スーパーマーケット","本人","1回払い","9818","0","9818","9818","0","*"
"2020/06/25","AMAZON.CO.JP","本人","1回払い","17556","0","17556","17556","0","*"
"2020/06/24","ﾊﾞﾘﾕｰﾄﾞﾒｲﾝ","本人","1回払い","1628","0","1628","1628","0","*"
"2020/06/24","AMAZON DOWNLOADS","本人","1回払い","1980","0","1980","1980","0","*"
"2020/06/24","AMAZON DOWNLOADS","本人","1回払い","3300","0","3300","3300","0","*"
"2020/06/23","AMAZON DOWNLOADS","本人","1回払い","1980","0","1980","1980","0","*"
"2020/06/23","AMAZON DOWNLOADS","本人","1回払い","1980","0","1980","1980","0","*"
"2020/06/22","AMAZON DOWNLOADS","本人","1回払い","3300","0","3300","3300","0","*"
"2020/06/21","AMAZON.CO.JP","本人","1回払い","3146","0","3146","3146","0","*"
"2020/06/21","AMAZON.CO.JP","本人","1回払い","1399","0","1399","1399","0","*"
"2020/06/21","AMAZON.CO.JP","本人","1回払い","1430","0","1430","1430","0","*"
"2020/06/21","AMAZON DOWNLOADS","本人","1回払い","3300","0","3300","3300","0","*"
"2020/06/20","ｹ-ﾖ-ﾃﾞｲﾂ-","本人","1回払い","5447","0","5447","5447","0","*"
"2020/06/20","ｹ-ﾖ-ﾃﾞｲﾂ-","本人","1回払い","321","0","321","321","0","*"
"2020/06/19","インテリア雑貨","本人","1回払い","33600","0","33600","33600","0","*"
"2020/06/15","ｿﾌﾄﾊﾞﾝｸM(05ｶﾞﾂ)","本人","1回払い","15015","0","15015","15015","0","*"
"2020/06/12","ｼ-ﾃﾞｲ-ｴﾅｼﾞ-ﾀﾞｲﾚｸﾄ","本人","1回払い","8467","0","8467","8467","0","*"
"2020/06/11","オリックス生命保険　保険料","本人","1回払い","3420","0","3420","3420","0","*"
"2020/06/11","ﾊﾞﾘﾕｰﾄﾞﾒｲﾝ","本人","1回払い","1628","0","1628","1628","0","*"
"2020/06/10","セブン－イレブン","本人","1回払い","715","0","715","715","0","*"
"2020/06/10","JRﾋｶﾞｼﾆﾎﾝ ﾐﾄﾞﾘﾉﾏﾄ","本人","1回払い","220","0","220","220","0","*"
"2020/06/06","ﾏﾙｴﾂ","本人","1回払い","599","0","599","599","0","*"
"2020/06/05","インテリア雑貨","本人","1回払い","16310","0","16310","16310","0","*"
"2020/06/01","GOOGLE CLOUD SERV","本人","1回払い","748","0","748","748","0","*"
"2020/05/31","ｿﾈﾂﾄ","本人","1回払い","1466","0","1466","1466","0","*"
"2020/05/31","ｿﾈﾂﾄ","本人","1回払い","3249","0","3249","3249","0","*"
"2020/05/31","ｵｻｲﾎﾟﾎﾟｲﾝﾄｺｳﾆﾕｳｼﾞ","本人","1回払い","3300","0","3300","3300","0","*"
"2020/05/26","ｶﾞｽ2020/05","本人","1回払い","8177","0","8177","8177","0","*"
