"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","5月支払金額","6月繰越残高","新規サイン"
"2020/04/30","AMAZON.CO.JP","本人","1回払い","1210","0","1210","1210","0","*"
"2020/04/28","AMAZON.CO.JP","本人","1回払い","9130","0","9130","9130","0","*"
"2020/04/28","AMAZON.CO.JP","本人","1回払い","1643","0","1643","1643","0","*"
"2020/04/28","AMAZON.CO.JP","本人","1回払い","3280","0","3280","3280","0","*"
"2020/04/27","AMAZON.CO.JP","本人","1回払い","852","0","852","852","0","*"
"2020/04/25","出光興産","本人","1回払い","400","0","400","400","0","*"
"2020/04/25","出光興産","本人","1回払い","1325","0","1325","1325","0","*"
"2020/04/24","AMAZON.CO.JP","本人","1回払い","6980","0","6980","6980","0","*"
"2020/04/18","ｹ-ﾖ-ﾃﾞｲﾂ-","本人","1回払い","956","0","956","956","0","*"
"2020/04/15","ｿﾌﾄﾊﾞﾝｸM(03ｶﾞﾂ)","本人","1回払い","17169","0","17169","17169","0","*"
"2020/04/14","AMAZON.CO.JP","本人","1回払い","5800","0","5800","5800","0","*"
"2020/04/13","オリックス生命保険　保険料","本人","1回払い","3420","0","3420","3420","0","*"
"2020/04/11","AMAZON.CO.JP","本人","1回払い","2860","0","2860","2860","0","*"
"2020/04/11","AMAZON.CO.JP","本人","1回払い","8074","0","8074","8074","0","*"
"2020/04/11","AMAZON.CO.JP","本人","1回払い","1650","0","1650","1650","0","*"
"2020/04/10","AMAZON.CO.JP","本人","1回払い","7373","0","7373","7373","0","*"
"2020/04/08","東京電力　　料金　　　２０／０４","本人","1回払い","14933","0","14933","14933","0","*"
"2020/04/03","手帳カバー","本人","1回払い","13800","0","13800","13800","0","*"
"2020/04/02","GOOGLE CLOUD SERV","本人","1回払い","748","0","748","748","0","*"
"2020/03/31","ｿﾈﾂﾄ","本人","1回払い","3300","0","3300","3300","0","*"
"2020/03/31","ｿﾈﾂﾄ","本人","1回払い","4208","0","4208","4208","0","*"
"2020/03/26","ｶﾞｽ2020/03","本人","1回払い","10488","0","10488","10488","0","*"
"2020/03/21","ソニー損保　保険料","本人","1回払い","17600","0","17600","17600","0","*"
