"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","6月支払金額","7月繰越残高","新規サイン"
"2020/05/31","AMAZON.CO.JP","本人","1回払い","1914","0","1914","1914","0","*"
"2020/05/30","AMAZON.CO.JP","本人","1回払い","1659","0","1659","1659","0","*"
"2020/05/30","AMAZON.CO.JP","本人","1回払い","2000","0","2000","2000","0","*"
"2020/05/30","ダイハツ","本人","1回払い","83521","0","83521","83521","0","*"
"2020/05/27","AMAZON.CO.JP","本人","1回払い","620","0","620","620","0","*"
"2020/05/24","ﾋﾟｻﾞ-ﾗ","本人","1回払い","3952","0","3952","3952","0","*"
"2020/05/16","ｹ-ﾖ-ﾃﾞｲﾂ-","本人","1回払い","3913","0","3913","3913","0","*"
"2020/05/16","ﾔﾖｲｽﾄｱ","本人","1回払い","13200","0","13200","13200","0","*"
"2020/05/15","ｿﾌﾄﾊﾞﾝｸM(04ｶﾞﾂ)","本人","1回払い","14037","0","14037","14037","0","*"
"2020/05/14","AAA","本人","1回払い","2450","0","2450","2450","0","*"
"2020/05/13","オリックス生命保険　保険料","本人","1回払い","3420","0","3420","3420","0","*"
"2020/05/13","CCC","本人","1回払い","4890","0","4890","4890","0","*"
"2020/05/12","QQQ","本人","1回払い","740","0","740","740","0","*"
"2020/05/11","AMAZON.CO.JP","本人","1回払い","1212","0","1212","1212","0","*"
"2020/05/10","ﾂｸﾓﾈﾂﾄｼﾖﾂﾌﾟ ｴﾑﾌﾞｲ","本人","1回払い","744","0","744","744","0","*"
"2020/05/09","AMAZON.CO.JP","本人","1回払い","1689","0","1689","1689","0","*"
"2020/05/09","ローソン","本人","1回払い","690","0","690","690","0","*"
"2020/05/02","AMAZON.CO.JP","本人","1回払い","6342","0","6342","6342","0","*"
"2020/05/01","GOOGLE CLOUD SERV","本人","1回払い","748","0","748","748","0","*"
"2020/05/01","AMAZON.CO.JP","本人","1回払い","5663","0","5663","5663","0","*"
"2020/04/30","ｿﾈﾂﾄ","本人","1回払い","1486","0","1486","1486","0","*"
"2020/04/30","ｿﾈﾂﾄ","本人","1回払い","3300","0","3300","3300","0","*"
"2020/04/30","ｿﾈﾂﾄ","本人","1回払い","3731","0","3731","3731","0","*"
"2020/04/24","ｶﾞｽ2020/04","本人","1回払い","9408","0","9408","9408","0","*"
