"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","2月支払金額","3月繰越残高","新規サイン"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/01/26","ﾄﾞﾗｯｸﾞｽﾄｱV/M","本人","1回払い","605","0","605","605","0","*"
"2020/01/26","太陽石油","本人","1回払い","2644","0","2644","2644","0","*"
"","05169","","","","","","","",""
"2020/01/22","ｱﾄﾚ","本人","1回払い","3240","0","3240","3240","0","*"
"2020/01/15","ｿﾌﾄﾊﾞﾝｸM(12ｶﾞﾂ)","本人","1回払い","17149","0","17149","17149","0","*"
"2020/01/14","オリックス生命保険　保険料","本人","1回払い","3420","0","3420","3420","0","*"
"2020/01/09","東京電力　　料金　　　２０／０１","本人","1回払い","16804","0","16804","16804","0","*"
"2020/01/02","ｹ-ﾖ-ﾃﾞｲﾂ-","本人","1回払い","1172","0","1172","1172","0","*"
"2020/01/01","GOOGLE CLOUD SERV","本人","1回払い","748","0","748","748","0","*"
"2019/12/24","ｶﾞｽ2019/12","本人","1回払い","10237","0","10237","10237","0","*"
