"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","8月支払金額","9月繰越残高","新規サイン"
"2020/07/31","AMAZON.CO.JP","本人","1回払い","8760","0","8760","8760","0","*"
"2020/07/29","AMAZON.CO.JP","本人","1回払い","1300","0","1300","1300","0","*"
"2020/07/29","ジャパネットたかた","本人","1回払い","143100","0","143100","143100","0","*"
"2020/07/28","AMAZON.CO.JP","本人","1回払い","4378","0","4378","4378","0","*"
"2020/07/21","ｹ-ﾖ-ﾃﾞｲﾂ-","本人","1回払い","2528","0","2528","2528","0","*"
"2020/07/21","AMAZON.CO.JP","本人","1回払い","7960","0","7960","7960","0","*"
"2020/07/21","AMAZON.CO.JP","本人","1回払い","2910","0","2910","2910","0","*"
"2020/07/20","AMAZON.CO.JP","本人","1回払い","9900","0","9900","9900","0","*"
"2020/07/19","ｹ-ﾖ-ﾃﾞｲﾂ-","本人","1回払い","4375","0","4375","4375","0","*"
"2020/07/19","ﾋﾟｻﾞ-ﾗ","本人","1回払い","3952","0","3952","3952","0","*"
"2020/07/14","APPLE COM BILL","本人","1回払い","1400","0","1400","1400","0","*"
"2020/07/13","オリックス生命保険　保険料","本人","1回払い","3420","0","3420","3420","0","*"
"2020/07/13","ｼ-ﾃﾞｲ-ｴﾅｼﾞ-ﾀﾞｲﾚｸﾄ","本人","1回払い","8393","0","8393","8393","0","*"
"2020/07/12","ﾋﾞﾂｸﾞﾛ-ﾌﾞﾘﾖｳﾘﾖｳ","本人","1回払い","11200","0","11200","11200","0","*"
"2020/07/10","ｹ-ﾖ-ﾃﾞｲﾂ-","本人","1回払い","1559","0","1559","1559","0","*"
"2020/07/09","AMAZON.CO.JP","本人","1回払い","1280","0","1280","1280","0","*"
"2020/07/08","AMAZON.CO.JP","本人","1回払い","3248","0","3248","3248","0","*"
"2020/07/06","ホームセンターブリコ","本人","1回払い","2370","0","2370","2370","0","*"
"2020/07/04","AMAZON.CO.JP","本人","1回払い","1036","0","1036","1036","0","*"
"2020/07/01","GOOGLE CLOUD SERV","本人","1回払い","748","0","748","748","0","*"
"2020/07/01","ﾏﾙｾﾞﾝ","本人","1回払い","8899","0","8899","8899","0","*"
"2020/06/30","ｿﾈﾂﾄ","本人","1回払い","1466","0","1466","1466","0","*"
"2020/06/30","ｿﾈﾂﾄ","本人","1回払い","3249","0","3249","3249","0","*"
"2020/06/30","ﾏﾈｰﾌｵﾜｰﾄﾞ","本人","1回払い","500","0","500","500","0","*"
"2020/06/25","ｶﾞｽ2020/06","本人","1回払い","5835","0","5835","5835","0","*"
