会員番号,****-****-****-****
対象カード,JALカードSuica
お支払日,2020年09月04日
今回お支払金額,"167,503"

ご利用年月日,ご利用箇所,ご利用額,払戻額,ご請求額（うち手数料・利息）,支払区分（回数）,今回回数,今回ご請求額・弁済金（うち手数料・利息）,現地通貨額,通貨略称,換算レート
****-****-****-**** OOO　YYY
2020/07/01,オートチャージ（モバイル）,"5,000",,"5,000",１回払,,"5,000",,   ,
2020/07/01,ライフネット生命保険　株式会社,"5,275",,"5,275",１回払,,"5,275",,   ,
2020/07/04,BBB,519,,519,１回払,,519,,   ,
2020/07/04,CCC,"7,586",,"7,586",１回払,,"7,586",,   ,
2020/07/04,ユニクロ,"13,717",,"13,717",１回払,,"13,717",,   ,
2020/07/06,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,"4,382",,"4,382",１回払,,"4,382",,   ,
2020/07/10,CCC,"9,454",,"9,454",１回払,,"9,454",,   ,
2020/07/12,GGG,412,,412,１回払,,412,,   ,
2020/07/12,CCC,"6,894",,"6,894",１回払,,"6,894",,   ,
2020/07/17,リアルスタイル,"7,086",,"7,086",１回払,,"7,086",,   ,
2020/07/18,ショコラティエ・ろまん亭,"2,572",,"2,572",１回払,,"2,572",,   ,
2020/07/19,GGG,632,,632,１回払,,632,,   ,
2020/07/19,ＴＳＵＴＡＹＡ,"1,109",,"1,109",１回払,,"1,109",,   ,
2020/07/19,CCC,"6,246",,"6,246",１回払,,"6,246",,   ,
2020/07/23,CCC,"4,080",,"4,080",１回払,,"4,080",,   ,
2020/07/24,ＴＳＵＴＡＹＡ,825,,825,１回払,,825,,   ,
2020/07/25,CCC,"8,710",,"8,710",１回払,,"8,710",,   ,
2020/07/25,AAA,"8,506",,"8,506",１回払,,"8,506",,   ,
2020/07/29,QQQ,"65,480",,"65,480",１回払,,"65,480",,   ,
2020/07/29,Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ,850,,850,１回払,,850,,   ,
2020/07/29,ＴＳＵＴＡＹＡ,"1,100",,"1,100",１回払,,"1,100",,   ,
2020/07/31,Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ,"7,068",,"7,068",１回払,,"7,068",,   ,
