会員番号,****-****-****-****
対象カード,JALカードSuica
お支払日,2020年05月07日
今回お支払金額,"84,118"

ご利用年月日,ご利用箇所,ご利用額,払戻額,ご請求額（うち手数料・利息）,支払区分（回数）,今回回数,今回ご請求額・弁済金（うち手数料・利息）,現地通貨額,通貨略称,換算レート
****-****-****-**** ooo　yyy
2020/03/01,ライフネット生命保険　株式会社,"5,275",,"5,275",１回払,,"5,275",,   ,
2020/03/04,あああ,680,,680,１回払,,680,,   ,
2020/03/07,いいい,"1,381",,"1,381",１回払,,"1,381",,   ,
2020/03/07,Ｎｉｎｔｅｎｄｏ　ｅＳｈｏｐ,306,,306,１回払,,306,,   ,
2020/03/07,えええ,636,,636,１回払,,636,,   ,
2020/03/07,えええ,"7,224",,"7,224",１回払,,"7,224",,   ,
2020/03/10,リアルスタイル,"7,550",,"7,550",１回払,,"7,550",,   ,
2020/03/11,日本赤十字社　社資募集,"10,000",,"10,000",１回払,,"10,000",,   ,
2020/03/11,日本赤十字社　社資募集,"10,000",,"10,000",１回払,,"10,000",,   ,
2020/03/14,いいい,768,,768,１回払,,768,,   ,
2020/03/14,えええ,"12,184",,"12,184",１回払,,"12,184",,   ,
2020/03/20,いいい,645,,645,１回払,,645,,   ,
2020/03/20,えええ,"6,185",,"6,185",１回払,,"6,185",,   ,
2020/03/22,おおお,580,,580,１回払,,580,,   ,
2020/03/22,おおお,680,,680,１回払,,680,,   ,
2020/03/22,えええ,"6,357",,"6,357",１回払,,"6,357",,   ,
2020/03/28,いいい,"2,316",,"2,316",１回払,,"2,316",,   ,
2020/03/28,えええ,"9,038",,"9,038",１回払,,"9,038",,   ,
2020/03/28,おおお,"2,177",,"2,177",１回払,,"2,177",,   ,
2020/03/29,おおお,213,,213,１回払,,213,,   ,
2020/03/29,おおお,300,,300,１回払,,300,,   ,
2020/04/01,消費者還元,-377,,0,,,0,,   ,
,ご入金等による充当額,,,,,,-377,,,

払戻日,払戻箇所,払戻額,ご利用年月日,ご利用箇所,充当額,返金予定額,備考
****-****-****-**** ooo　yyy
2020/04/01,消費者還元,377,,２０２０年０５月請求分,377,0,払戻しの場合は、お取扱いの期日により、ご請求時とご相殺または、ご返金いたします。
