会員番号,****-****-****-****
対象カード,JALカードSuica
お支払日,2020年02月04日
今回お支払金額,"67,699"

ご利用年月日,ご利用箇所,ご利用額,払戻額,ご請求額（うち手数料・利息）,支払区分（回数）,今回回数,今回ご請求額・弁済金（うち手数料・利息）,現地通貨額,通貨略称,換算レート
****-****-****-**** SSS　AAA
2019/12/01,ラウンドワンスタジアム,"1,200",,"1,200",１回払,,"1,200",,   ,
2019/12/01,アリオ,"1,078",,"1,078",１回払,,"1,078",,   ,
2019/12/01,ライフネット生命保険　株式会社,"5,275",,"5,275",１回払,,"5,275",,   ,
2019/12/02,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2019/12/04,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2019/12/07,あああ,540,,540,１回払,,540,,   ,
2019/12/07,いいい,"7,557",,"7,557",１回払,,"7,557",,   ,
2019/12/08,シュープラザ,979,,979,１回払,,979,,   ,
2019/12/10,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2019/12/13,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2019/12/14,おおお,780,,780,１回払,,780,,   ,
2019/12/14,いいい,"8,361",,"8,361",１回払,,"8,361",,   ,
2019/12/19,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2019/12/21,いいい,"1,339",,"1,339",１回払,,"1,339",,   ,
2019/12/21,いいい,"5,074",,"5,074",１回払,,"5,074",,   ,
2019/12/22,いいい,"1,027",,"1,027",１回払,,"1,027",,   ,
2019/12/24,オートチャージ（リンク）,"5,000",,"5,000",１回払,,"5,000",,   ,
2019/12/29,いいい,"3,359",,"3,359",１回払,,"3,359",,   ,
2019/12/31,おおお,390,,390,１回払,,390,,   ,
2019/12/31,おおお,740,,740,１回払,,740,,   ,
