"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","4月支払金額","5月繰越残高","新規サイン"
"2020/03/31","ｵﾍﾞﾝﾄﾈﾂﾄ","本人","1回払い","470","0","470","470","0","*"
"2020/03/21","ｹ-ﾖ-ﾃﾞｲﾂ-","本人","1回払い","4825","0","4825","4825","0","*"
"2020/03/20","スーパーV/M","本人","1回払い","1366","0","1366","1366","0","*"
"2020/03/15","ｿﾌﾄﾊﾞﾝｸM(02ｶﾞﾂ)","本人","1回払い","17191","0","17191","17191","0","*"
"2020/03/15","AMAZON.CO.JP","本人","1回払い","880","0","880","880","0","*"
"2020/03/15","AMAZON.CO.JP","本人","1回払い","2499","0","2499","2499","0","*"
"2020/03/14","AMAZON.CO.JP","本人","1回払い","5711","0","5711","5711","0","*"
"2020/03/11","オリックス生命保険　保険料","本人","1回払い","3420","0","3420","3420","0","*"
"2020/03/07","AMAZON.CO.JP","本人","1回払い","935","0","935","935","0","*"
"2020/03/06","AMAZON.CO.JP","本人","1回払い","935","0","935","935","0","*"
"2020/03/06","東京電力　　料金　　　２０／０３","本人","1回払い","14788","0","14788","14788","0","*"
"2020/03/01","GOOGLE CLOUD SERV","本人","1回払い","748","0","748","748","0","*"
"2020/02/26","CCC","本人","1回払い","549","0","549","549","0","*"
"2020/02/25","ｶﾞｽ2020/02","本人","1回払い","11141","0","11141","11141","0","*"
