会員番号,****-****-****-****
対象カード,JALカードSuica
お支払日,2020年07月06日
今回お支払金額,"98,591"

ご利用年月日,ご利用箇所,ご利用額,払戻額,ご請求額（うち手数料・利息）,支払区分（回数）,今回回数,今回ご請求額・弁済金（うち手数料・利息）,現地通貨額,通貨略称,換算レート
****-****-****-**** OOO　YYY
2020/05/01,ライフネット生命保険　株式会社,"5,275",,"5,275",１回払,,"5,275",,   ,
2020/05/02,AAA,"8,327",,"8,327",１回払,,"8,327",,   ,
2020/05/09,あああ,852,,852,１回払,,852,,   ,
2020/05/09,いいい,"8,001",,"8,001",１回払,,"8,001",,   ,
2020/05/11,ううう,160,,160,１回払,,160,,   ,
2020/05/12,Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ,"6,038",,"6,038",１回払,,"6,038",,   ,
2020/05/16,あああ,"9,783",,"9,783",１回払,,"9,783",,   ,
2020/05/16,いいい,"2,296",,"2,296",１回払,,"2,296",,   ,
2020/05/16,ううう,"11,015",,"11,015",１回払,,"11,015",,   ,
2020/05/17,Ｎｉｎｔｅｎｄｏ　ｅＳｈｏｐ,"6,578",,"6,578",１回払,,"6,578",,   ,
2020/05/23,えええ,"1,805",,"1,805",１回払,,"1,805",,   ,
2020/05/23,あああ,"4,443",,"4,443",１回払,,"4,443",,   ,
2020/05/25,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,"1,760",,"1,760",１回払,,"1,760",,   ,
2020/05/25,Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ,"2,392",,"2,392",１回払,,"2,392",,   ,
2020/05/25,Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ,"2,880",,"2,880",１回払,,"2,880",,   ,
2020/05/25,Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ,"3,136",,"3,136",１回払,,"3,136",,   ,
2020/05/25,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,"7,854",,"7,854",１回払,,"7,854",,   ,
2020/05/26,ローソン,"1,343",,"1,343",１回払,,"1,343",,   ,
2020/05/30,えええ,534,,534,１回払,,534,,   ,
2020/05/30,あああ,"14,669",,"14,669",１回払,,"14,669",,   ,
2020/06/01,消費者還元,-550,,0,,,0,,   ,
,ご入金等による充当額,,,,,,-550,,,

払戻日,払戻箇所,払戻額,ご利用年月日,ご利用箇所,充当額,返金予定額,備考
****-****-****-**** ooo　yyy
2020/06/01,消費者還元,550,,２０２０年０７月請求分,550,0,払戻しの場合は、お取扱いの期日により、ご請求時とご相殺または、ご返金いたします。
